Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
UNIT,Uniti Group Inc.,14.17,$2.49B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/unit
UNTY,"Unity Bancorp, Inc.",20.35,$215.79M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/unty
OLED,Universal Display Corporation,139.8,$6.58B,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/oled
UEIC,Universal Electronics Inc.,43.3,$619.44M,1993,Consumer Non-Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/ueic
UFPI,"Universal Forest Products, Inc.",34.47,$2.11B,1993,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/ufpi
ULH,"Universal Logistics Holdings, Inc.",22.65,$643.06M,n/a,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/ulh
USAP,"Universal Stainless & Alloy Products, Inc.",23.14,$167.26M,1994,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/usap
UVSP,Univest Corporation of Pennsylvania,26.85,$787.64M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/uvsp
UPLD,"Upland Software, Inc.",21.65,$449.79M,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/upld
UONE,"Urban One, Inc. ",1.65,$80.01M,n/a,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/uone
UONEK,"Urban One, Inc. ",1.75,$84.85M,n/a,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/uonek
URBN,"Urban Outfitters, Inc.",32.36,$3.5B,1993,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/urbn
URGN,UroGen Pharma Ltd.,48.89,$672.31M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/urgn
ECOL,"US Ecology, Inc.",47.35,$1.03B,n/a,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/ecol
USAT,"USA Technologies, Inc.",9,$482.58M,n/a,Miscellaneous,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/usat
USATP,"USA Technologies, Inc.",23.8,$10.59M,n/a,Miscellaneous,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/usatp
USAK,"USA Truck, Inc.",26.12,$216.52M,1992,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/usak
